iter	RMSE
0	5133.968088
1	5064.605463
2	5002.011752
3	4941.872172
4	4881.991703
5	4832.074257
6	4787.768296
7	4742.877229
8	4702.959169
9	4662.885405
10	4628.890514
11	4600.5755
12	4571.428654
13	4545.360018
14	4521.221566
15	4499.85682
16	4481.70568
17	4460.836765
18	4439.599136
19	4421.305554
20	4405.832187
21	4388.441866
22	4370.01065
23	4351.710516
24	4337.795909
25	4321.662129
26	4310.699464
27	4302.235791
28	4292.566855
29	4283.628319
30	4274.082212
31	4264.838439
32	4254.132365
33	4243.104215
34	4236.313254
35	4225.193646
36	4215.274728
37	4205.580606
38	4198.372897
39	4186.352908
40	4179.804682
41	4171.873863
42	4163.030037
43	4156.867349
44	4151.770987
45	4143.257005
46	4133.913907
47	4124.568958
48	4117.24285
49	4111.070718
50	4102.64804
51	4097.254837
52	4088.766749
53	4083.440793
54	4075.644925
55	4069.014754
56	4063.019854
57	4057.268185
58	4051.098309
59	4044.090664
60	4040.202213
61	4034.234781
62	4028.599609
63	4023.843952
64	4021.192671
65	4014.781837
66	4010.152167
67	4005.867998
68	4000.328125
69	3993.74344
70	3988.988702
71	3983.046764
72	3979.093629
73	3973.484444
74	3970.202132
75	3966.200604
76	3959.743713
77	3954.172838
78	3950.435463
79	3947.113003
80	3942.072177
81	3938.661684
82	3931.772788
83	3926.578425
84	3921.267099
85	3918.582701
86	3914.554621
87	3911.989244
88	3907.519193
89	3902.578862
90	3896.062903
91	3891.773033
92	3887.867036
93	3883.804693
94	3878.454226
95	3875.665226
96	3872.392687
97	3867.642849
98	3860.277634
99	3856.904077
100	3852.070822
101	3845.664946
102	3843.44646
103	3840.99676
104	3837.920801
105	3834.052233
106	3830.736927
107	3826.952731
108	3822.255851
109	3816.562441
110	3812.997354
111	3807.514731
112	3802.551534
113	3800.052624
114	3796.317301
115	3792.849162
116	3789.720852
117	3786.932925
118	3784.741838
119	3782.216743
120	3777.927952
121	3774.019712
122	3769.606854
123	3767.40343
124	3764.632696
125	3762.181346
126	3758.863889
127	3756.779936
128	3752.642882
129	3745.947873
130	3742.625397
131	3738.754079
132	3737.540878
133	3733.232398
134	3730.486782
135	3728.34072
136	3723.791833
137	3722.12099
138	3718.362265
139	3715.809828
140	3712.135214
141	3707.734505
142	3705.349897
143	3703.500925
144	3700.654764
145	3695.790719
146	3692.911942
147	3688.545729
148	3683.852307
149	3680.207498
150	3675.608489
151	3670.508302
152	3667.004437
153	3664.094562
154	3661.810108
155	3659.034659
156	3655.540154
157	3652.044106
158	3649.249749
159	3644.750132
160	3639.450695
161	3637.590796
162	3634.437721
163	3632.078924
164	3627.493086
165	3624.757858
166	3621.221415
167	3617.044052
168	3613.337619
169	3609.006218
170	3604.099493
171	3600.601779
172	3597.144512
173	3592.502193
174	3590.309657
175	3586.662078
176	3584.821319
177	3579.220506
178	3576.359078
179	3574.054198
180	3570.700978
181	3567.836434
182	3564.983261
183	3562.955169
184	3559.643065
185	3557.981756
186	3555.689415
187	3552.806762
188	3550.389893
189	3547.256554
190	3544.171521
191	3540.468547
192	3538.723488
193	3533.042392
194	3529.642772
195	3526.22343
196	3523.430334
197	3520.495003
198	3518.041074
199	3515.396833
200	3513.114913
201	3509.927664
202	3507.092232
203	3503.678794
204	3500.778195
205	3497.972363
206	3495.569032
207	3492.521381
208	3488.255059
209	3485.757365
210	3483.624266
211	3480.286854
212	3479.074734
213	3476.140823
214	3471.597984
215	3469.08227
216	3466.01424
217	3463.045032
218	3461.230071
219	3459.463566
220	3458.798838
221	3455.507263
222	3451.608396
223	3448.397016
224	3446.447588
225	3445.218133
226	3442.615951
227	3439.572421
228	3434.968316
229	3432.916516
230	3430.509521
231	3427.978031
232	3425.702916
233	3422.287258
234	3419.460337
235	3416.852361
236	3414.480903
237	3412.409467
238	3410.28573
239	3407.047046
240	3404.131448
241	3401.882625
242	3399.731207
243	3397.708708
244	3394.997446
245	3393.015324
246	3390.280501
247	3388.473827
248	3385.088906
249	3383.597422
250	3381.735626
251	3379.647167
252	3377.573397
253	3375.78561
254	3372.16165
255	3368.93459
256	3366.505798
257	3363.75686
258	3361.935352
259	3358.323064
260	3357.094459
261	3356.304641
262	3354.336858
263	3352.514592
264	3349.722345
265	3346.166887
266	3343.068932
267	3342.203903
268	3340.007282
269	3337.653989
270	3336.442738
271	3334.178276
272	3332.329846
273	3329.419549
274	3327.071255
275	3324.306523
276	3320.834086
277	3317.879064
278	3316.909899
279	3315.207311
280	3310.643625
281	3306.45038
282	3303.597881
283	3301.81688
284	3300.222936
285	3298.131662
286	3295.245944
287	3293.541259
288	3292.399975
289	3289.280318
290	3286.470643
291	3284.115972
292	3281.57343
293	3279.224486
294	3277.046311
295	3275.509073
296	3273.565656
297	3269.599971
298	3267.892743
299	3265.705369
300	3263.610943
301	3261.573756
302	3258.966721
303	3256.331135
304	3254.767996
305	3252.298223
306	3250.242246
307	3248.805213
308	3246.740687
309	3245.420873
310	3243.730618
311	3241.889735
312	3240.445091
313	3238.775093
314	3237.288776
315	3234.586875
316	3233.468354
317	3230.661842
318	3229.708112
319	3228.463182
320	3227.778758
321	3225.398824
322	3224.822496
323	3222.629685
324	3220.915159
325	3219.129149
326	3216.15697
327	3212.981238
328	3212.23737
329	3209.765444
330	3208.983862
331	3206.610379
332	3205.105847
333	3202.809415
334	3201.231413
335	3199.035222
336	3197.215936
337	3195.970627
338	3193.551738
339	3192.177856
340	3189.221278
341	3187.533989
342	3184.003575
343	3180.529045
344	3179.385775
345	3177.153569
346	3174.745302
347	3172.972528
348	3172.362156
349	3170.460568
350	3167.992605
351	3166.933468
352	3165.233544
353	3161.517933
