iter	Passed	Remaining
0	5	5531
1	9	4950
2	14	4785
3	19	4942
4	25	4983
5	29	4968
6	36	5124
7	40	5073
8	45	5042
9	51	5083
10	55	5006
11	61	5078
12	67	5091
13	71	5008
14	75	4930
15	78	4843
16	83	4844
17	88	4815
18	92	4791
19	98	4809
20	103	4802
21	107	4774
22	111	4742
23	117	4777
24	121	4743
25	125	4719
26	131	4722
27	149	5204
28	154	5160
29	158	5134
30	164	5150
31	168	5110
32	172	5062
33	176	5017
34	181	4991
35	184	4949
36	188	4916
37	192	4872
38	197	4869
39	201	4835
40	204	4792
41	208	4761
42	213	4753
43	217	4718
44	220	4682
45	224	4656
46	228	4638
47	232	4606
48	235	4578
49	239	4548
50	243	4538
51	247	4510
52	251	4486
53	255	4467
54	259	4463
55	263	4439
56	266	4414
57	271	4407
58	276	4411
59	280	4394
60	284	4376
61	290	4388
62	293	4370
63	297	4350
64	301	4335
65	306	4332
66	309	4316
67	313	4296
68	318	4291
69	323	4292
70	326	4276
71	330	4260
72	334	4242
73	338	4234
74	342	4222
75	346	4207
76	349	4191
77	353	4182
78	358	4174
79	361	4162
80	365	4148
81	370	4142
82	374	4136
83	378	4125
84	382	4117
85	387	4122
86	391	4112
87	395	4100
88	399	4090
89	406	4105
90	410	4095
91	414	4086
92	418	4085
93	423	4078
94	426	4067
95	430	4054
96	435	4054
97	439	4044
98	443	4031
99	446	4019
100	451	4016
101	454	4005
102	458	3992
103	464	4004
104	469	3998
105	472	3988
106	476	3979
107	480	3970
108	485	3966
109	488	3955
110	492	3945
111	496	3936
112	501	3933
113	504	3922
114	508	3911
115	511	3901
116	517	3906
117	521	3901
118	526	3897
119	532	3902
120	537	3903
121	542	3902
122	548	3908
123	552	3904
124	557	3900
125	562	3899
126	566	3897
127	571	3892
128	575	3886
129	581	3891
130	585	3885
131	590	3880
132	594	3874
133	598	3869
134	603	3865
135	607	3857
136	612	3857
137	616	3852
138	620	3846
139	624	3836
140	629	3834
141	633	3827
142	637	3819
143	641	3814
144	646	3811
145	650	3805
146	654	3798
147	660	3799
148	676	3863
149	680	3857
150	685	3851
151	689	3847
152	693	3841
153	697	3834
154	701	3826
155	706	3822
156	710	3815
157	714	3806
158	717	3797
159	722	3792
160	726	3786
161	730	3776
162	733	3767
163	737	3758
164	742	3755
165	745	3746
166	749	3740
167	754	3737
168	759	3732
169	763	3728
170	767	3721
171	772	3720
172	776	3712
173	780	3704
174	784	3696
175	788	3693
176	792	3686
177	796	3680
178	800	3672
179	805	3669
180	810	3666
181	814	3659
182	818	3653
183	822	3646
184	826	3639
185	829	3630
186	833	3624
187	838	3619
188	841	3611
189	845	3604
190	849	3598
191	854	3594
192	858	3589
193	862	3583
194	866	3579
195	871	3573
196	874	3565
197	879	3561
198	883	3557
199	887	3550
200	891	3543
201	895	3536
202	899	3532
203	903	3525
204	907	3518
205	910	3510
206	915	3508
207	919	3503
208	923	3495
209	927	3488
210	931	3484
211	935	3476
212	938	3469
213	942	3462
214	947	3458
215	950	3451
216	954	3444
217	958	3436
218	962	3430
219	965	3424
220	969	3416
221	972	3409
222	976	3403
223	981	3398
224	984	3391
225	988	3384
226	991	3377
227	997	3375
228	1000	3368
229	1004	3363
230	1008	3357
231	1013	3353
232	1016	3346
233	1020	3341
234	1024	3334
235	1029	3331
236	1032	3324
237	1036	3317
238	1039	3311
239	1044	3308
240	1049	3304
241	1053	3300
242	1058	3296
243	1062	3292
244	1066	3286
245	1070	3279
246	1074	3276
247	1078	3270
248	1082	3264
249	1086	3258
250	1089	3252
251	1094	3248
252	1098	3243
253	1102	3236
254	1106	3232
255	1110	3228
256	1115	3224
257	1119	3218
258	1123	3214
259	1127	3208
260	1131	3202
261	1134	3195
262	1139	3193
263	1143	3187
264	1147	3181
265	1151	3176
266	1157	3176
267	1164	3180
268	1169	3177
269	1173	3173
270	1177	3167
271	1181	3162
272	1186	3159
273	1191	3155
274	1194	3150
275	1199	3145
276	1204	3142
277	1208	3137
278	1211	3131
279	1215	3126
280	1221	3124
281	1224	3118
282	1228	3113
283	1232	3108
284	1237	3104
285	1241	3098
286	1245	3093
287	1249	3088
288	1253	3084
289	1257	3078
290	1263	3077
291	1267	3073
292	1271	3067
293	1274	3061
294	1278	3055
295	1282	3050
296	1286	3045
297	1291	3042
298	1295	3036
299	1299	3032
300	1303	3026
301	1307	3022
302	1311	3016
303	1315	3012
304	1319	3007
305	1323	3001
306	1327	2995
307	1331	2991
308	1335	2987
309	1339	2981
310	1342	2975
311	1347	2971
312	1351	2966
313	1355	2960
314	1358	2954
315	1363	2950
316	1367	2945
317	1370	2939
318	1374	2933
319	1378	2929
320	1382	2923
321	1385	2917
322	1389	2911
323	1393	2906
324	1397	2903
325	1401	2897
326	1405	2891
327	1408	2886
328	1413	2882
329	1416	2876
330	1420	2870
331	1423	2865
332	1428	2861
333	1432	2855
334	1435	2850
